요리명,주재료,부재료,조리법 ,상세설명,데이터기준일자
오미자레몬 (ICED),오미자원액 70ml(7펌프),"생레몬 1조각, 시럽 한스푼, 얼음 8","① 오미자원액 70ml(7펌프), 생레몬 1조각, 시럽 1스푼을 컵에 담고 얼음 8개를 넣은 후 물을 남은 공간에 따라준다.",,2022-10-30
블루베리 (HOT),블루베리원액 50ml(5펌프),250ml 뜨거운물,① 블루베리원액 50ml(5펌프)를 컵에 담고 250ml의 뜨거운 물을 따라준다.,,2022-10-30
블루베리 (ICED),블루베리원액 70ml,얼음 8,① 블루베리원액 70ml(7펌프)를 컵에 담고 얼음 8개를 넣은 후 물을 남은 공간에 따라준다.,,2022-10-30
석류 (HOT),석류원액 50ml(5펌프),250ml 뜨거운물,① 석류원액 50ml(5펌프)를 컵에 담고 250ml의 뜨거운 물을 따라준다.,,2022-10-30
석류 (ICED),석류원액 70ml,얼음 8,① 석류원액 70ml(7펌프)를 컵에 담고 얼음 8개를 넣은 후 물을 남은 공간에 따라준다.,,2022-10-30
리얼레몬 (HOT),"레몬베이스 40ml, 레몬시럽 1펌프","생레몬 2조각, 220ml 뜨거운물","① 레몬베이스 40ml, 레몬시럽 1펌프, 생레몬 2조각을 컵에 담고 220ml의 뜨거운 물을 따라준다.",,2022-10-30
리얼레몬 (ICED),"레몬베이스 50ml, 레몬시럽 2펌프","생레몬 2조각, 담근시럽 2스푼, 얼음 8","① 레몬베이스50ml, 레몬시럽 2펌프, 생레몬 2조각, 담근시럽 2스푼을 컵에 담고 얼음 8개를 넣은 후 물을 남은 공간에 따라준다.",,2022-10-30
리얼자몽 (HOT),"리얼자몽원액 40ml, 자몽시럽 1펌프","생자몽 2조각, 220ml 뜨거운물","① 리얼자몽원액 40ml, 자몽시럽 1펌프, 생자몽 2조각을 컵에 담고 220ml의 뜨거운 물을 따라준다.",,2022-10-30
리얼자몽 (ICED),"리얼자몽원액 50ml, 자몽시럽 2펌프","생자몽 2조각, 담근시럽 2스푼, 얼음 8","① 리얼자몽원액 50ml, 자몽시럽 2펌프, 생자몽 2조각, 담근시럽 2스푼을 컵에 담고 얼음 8개를 넣은 후 물을 남은 공간에 따라준다.",,2022-10-30
그린 티에이드 (ICED),엘더플라워 50ml,"설탕시럽 2펌프, 녹차탄산수 270ml, 얼음 8, 생레몬 2조각, 담근시럽 2스푼","① 엘더플라워 50ml, 설탕시럽 2펌프를 컵에 담고 얼음 8개를 넣은 후 녹차탄산수 270ml를 넣어준다. ② 생레몬 2조각을 올리고 담근시럽 2스푼을 뿌려준다.",,2022-10-30
청포도 티에이드 (ICED),"쉘몬청포도 30ml, 흥국청포도 20ml","설탕시럽 2펌프, 얼음 8, 녹차탄산수 270ml, 얼음 8","① 쉘몬청포도 30ml, 흥국청포도 20ml, 설탕시럽 2펌프를 컵에 담고 얼음 8개를 넣은 후 녹차탄산수 270ml를 넣어준다.",,2022-10-30
자몽 티에이드 (ICED),"자몽원액 50ml, 자몽시럽 2펌프","녹차탄산수 270ml, 얼음 8, 토핑: 생자몽 2조각, 담근시럽 2스푼","① 자몽원액 50ml, 자몽시럽 2펌프를 컵에 담고 얼음 8개를 넣은 후 녹차탄산수 270ml를 넣어준다. ② 생자몽 2조각을 올리고 담근시럽 2스푼을 뿌려준다.",,2022-10-30
리얼레몬티에이드 (ICED),"레몬에이드원액 50ml, 레몬시럽 2펌프","녹차탄산수 270ml, 얼음 8, 토핑: 생레몬 2조각, 담근시럽 2스푼","① 레몬에이드원액 50ml, 레몬시럽 2펌프를 컵에 담고 얼음 8개를 넣은 후 녹차탄산수 270ml를 넣어준다. ② 생레몬 2조각을 올리고 담근시럽 2스푼을 뿌려준다.",,2022-10-30
말차라떼 (HOT),"말차파우더 6g, 스팀밀크 225ml","설탕시럽 2펌프(20ml), 바닐라시럽 1펌프(10ml)","① 말차파우더 6g, 설탕시럽 2펌프, 바닐라시럽 1펌프(10ml)를 컵에 담고 스팀밀크 225ml를 넣어준다.",,2022-10-30
말차라떼 (ICED),"말차파우더 12g, 찬우유 120ml","뜨거운물 25g, 얼음 8, 설탕시럽 2펌프(20ml), 바닐라시럽 1펌프(10ml)","① 말차파우더 12g을 뜨거운물 25g으로 녹인 후 설탕시럽 2펌프(20ml), 바닐라시럽 1펌프(10ml)와 컵에 담고 얼음 8개를 넣은 후 찬우유 120ml를 부워준다.",,2022-10-30
말차흑당버블티 (ICED),말차파우더 12g,"뜨거운물 25g, 타피오카펄 50g, 흑당시럽 15g, 우유 100ml, 얼음 8개(컵에 나머지 공간 우유로 채우기)","① 말차파우더 12g을 뜨거운물 25g으로 녹인 후 타피오카펄 50g, 흑당시럽 15g과 컵에 담고 얼음 8개를 넣은 후 우유 100ml를 부워준다. ② 컵의 나머지 공간을 우유로 채워준다.",,2022-10-30
홍차라떼 (HOT),"홍차라떼파우더 20g, 스팀밀크 225ml","홍차시럽 1펌프(10g), 토핑: 홍차라떼파우더","① 홍차라떼파우더 20g, 홍차시럽 1펌프(10g), 스팀밀크 225ml를 컵에 담아 녹여준다. ② 홍차라떼파우더를 토핑으로 뿌려준다.",,2022-10-30
홍차라떼 (ICED),"홍차라떼파우더 30g, 스팀밀크 60ml, 찬우유 120ml","얼음 8, 홍차시럽 2펌프(20g), 토핑: 홍차라떼파우더","① 홍차라떼파우더 30g, 홍차시럽 2펌프(20g), 찬우유 120ml, 스팀밀크 60ml를 컵에 담아 녹이고, 얼음 8개를 넣어준다. ② 홍차라떼파우더를 토핑으로 뿌려준다.",,2022-10-30
리얼초코라떼 (HOT),"초코라떼파우더 20g, 스팀밀크 225ml","설탕시럽 1펌프, 초코소스 10g, 토핑: 초코라떼파우더","① 초코라떼파우더 20g, 설탕시럽 1펌프, 초코소스 10g, 스팀밀크 225ml를 컵에 담아 녹여준다. ② 초코라떼파우더를 토핑으로 뿌려준다.",,2022-10-30
리얼초코라떼 (ICED),"초코라떼파우더 20g, 스팀밀크 60ml, 찬우유 120ml","얼음 8, 설탕시럽 1펌프, 초코소스 20g, 토핑: 초코라떼파우더","① 초코라떼파우더 20g, 설탕시럽 1펌프, 초코소스 20g, 찬우유 120ml, 스팀밀크 60ml를 컵에 담아 녹이고, 얼음 8개를 넣어준다. ② 초코라떼파우더를 토핑으로 뿌려준다.",,2022-10-30
말차고구마라떼 (HOT),"고구마파우더 20g, 고구마페이스트 20g, 스팀밀크 225ml","설탕시럽 10g, 말차파우더 6g, 토핑: 아몬드슬라이스","① 고구마파우더 20g, 고구마페이스트 20g, 설탕시럽 10g, 말차파우더 6g, 스팀밀크 225ml를 컵에 담아 녹여준다. ② 아몬드슬라이스를 토핑으로 올려준다.",,2022-10-30
말차고구마라떼 (ICED),"고구마파우더 20g, 고구마페이스트 30g, 찬우유 100ml","얼음 8, 설탕시럽 2펌프, 말차파우더 6g, 토핑: 아몬드슬라이스","① 고구마파우더 20g, 고구마페이스트 30g, 설탕시럽 2펌프, 말차파우더 6g, 찬우유 100ml를 컵에 담아 녹이고, 얼음 8개를 넣어준다. ② 아몬드슬라이스를 토핑으로 올려준다.",,2022-10-30
녹차아이스크림라떼 (ICED),"녹차아이스크림 3바퀴, 에스프레소 2샷","얼음 120g, 우유 120ml","① 에스프레소 2샷을 컵에 담고, 얼음 120g과 우유 120ml를 채워준다. ② 위에 녹차아이스크림을 3바퀴 둘러준다.",,2022-10-30
아메리카노 (HOT),에스프레소 2샷,뜨거운 물 250ml,"① 에스프레소 2샷(연하게는 1샷)을 컵에 담고, 뜨거운 물 250ml를 넣고 섞어준다.",,2022-10-30
아메리카노 (ICED),에스프레소 2샷(연하게는 각 1샷씩),"냉수 200ml, 얼음 8",① 에스프레소 2샷(연하게는 1샷)을 컵에 담고 얼음 8개와 냉수 200ml를 넣고 섞어준다.,,2022-10-30
카페라떼 (HOT),에스프레소 2샷,스팀우유 220ml,① 에스프레소 2샷(연하게는 1샷)을 컵에 담고 스팀우유 220ml를 넣고 섞어준다.,,2022-10-30
카페라떼 (ICED),에스프레소 2샷,"찬우유 200ml, 얼음 8",① 에스프레소 2샷(연하게는 1샷)을 컵에 담고 얼음 8개와 찬우유 200ml를 넣고 섞어준다.,,2022-10-30
카푸치노 (HOT),에스프레소 2샷,"스팀우유 200ml, 토핑: 거친거품",① 에스프레소 2샷(연하게는 1샷)을 컵에 담고 스팀우유 200ml를 넣고 섞어준다. ② 토핑으로 거친거품을 올려준다.,,2022-10-30
카푸치노 (ICED),에스프레소 2샷,"찬우유 180ml, 얼음 8, 토핑: 거친거품",① 에스프레소 2샷(연하게는 1샷)을 컵에 담고 얼음 8개와 찬우유 180ml를 넣고 섞어준다. ② 토핑으로 거친거품을 올려준다.,,2022-10-30
카라멜 마끼아또 (HOT),"에스프레소 2샷, 카라멜소스 25ml","카라멜시럽 1펌프, 스팀우유 220ml, 토핑: 카라멜소스 드리즐","① 에스프레소 2샷, 카라멜소스 25ml, 카라멜시럽 1펌프를 컵에 담고 스팀우유 220ml를 넣고 섞어준다. ② 토핑으로 카라멜소스 드리즐을 해준다.",,2022-10-30
카라멜 마끼아또 (ICED),"에스프레소 2샷, 카라멜소스 25ml ","카라멜시럽 1펌프, 찬우유 150ml, 얼음 8, 우유거품, 토핑: 카라멜소스 드리즐","① 에스프레소 2샷, 카라멜소스 35ml, 카라멜시럽 1펌프를 컵에 담고 얼음 8개와 찬우유 150ml를 넣고 섞어준다. ② 토핑으로 카라멜소스 드리즐을 해준다.",,2022-10-30
카페모카 (HOT),"에스프레소 2샷, 초코소스 25ml","스팀우유 200ml, 토핑: 초코소스 드리즐(휘핑크림 추가시 : 세바퀴)","① 에스프레소 2샷, 초코소스 25ml를 컵에 담고 스팀우유 200ml를 넣고 섞어준다. ② 토핑으로 초코소스 드리즐을 해준다. ③ 휘핑크림을 추가할 시 휘핑크림을 세바퀴 둘러준다.",,2022-10-30
카페모카 (ICED),"에스프레소 2샷, 초코소스 35ml","찬우유 150ml, 토핑: 초코소스 드리즐(휘핑크림 추가시 : 세바퀴)","① 에스프레소 2샷, 초코소스 35ml를 컵에 담고 찬우유 150ml를 넣고 섞어준다. ② 토핑으로 초코소스 드리즐을 해준다. ③ 휘핑크림을 추가할 시 휘핑크림을 세바퀴 둘러준다.",,2022-10-30
바닐라빈라떼 (HOT),"에스프레소 2샷, 바닐라빈시럽 15g","바닐라시럽 10ml(1펌프), 스팀우유 200ml","① 에스프레소 2샷, 바닐라시럽 10ml(1펌프), 바닐라빈시럽 15g을 컵에 담고 스팀우유 200ml를 넣고 섞어준다.",,2022-10-30
바닐라빈라떼 (ICED),"에스프레소 2샷, 바닐라빈시럽 20g","바닐라시럽 20ml(2펌프), 찬우유 150ml","① 에스프레소 2샷, 바닐라시럽 20ml(2펌프), 바닐라빈시럽 20g을 컵에 담고 찬우유 150ml를 넣고 섞어준다.",,2022-10-30
티아메리카노 (HOT),"에스프레소 2샷, 녹차티백 1","뜨거운 물 250ml (연하게는HOT, ICED 1샷)",① 녹차티백 1개를 뜨거운 물 250ml에 1분간 우려준다. ② 컵에 에스프레소 2샷(연하게는 1샷)을 담고 우려낸 녹차물을 넣고 섞어준다.,,2022-10-30
티아메리카노 (ICED),"에스프레소 2샷, 녹차수 200ml","얼음 8(연하게는 HOT, ICED 1샷)",① 에스프레소 2샷(연하게는 1샷)을 컵에 담고 얼음 8개와 녹차수 200ml를 넣고 섞어준다.,,2022-10-30
허니브레드,허니브레드,"카라멜소스, 초콜릿소스, 메이플시럽, 아몬드 한줌, 휘핑크림, 시나몬파우더","① 해동된 허니브레드를 빵팬에 종이호일을 깔고 위에 올려둔다. ② 가열된 오븐에 7분동안 구워준다.(타이머 세팅) ③ 빈접시에 소스를 지그재그로 드리즐 해준다. (카라멜, 시나몬→카라멜소스 / 초콜릿→초콜릿소스) ④ 소스가 드리즐된 접시에 구워진 허니브레드를 놓고 허니브레드 위에 메이플시럽을 드리즐 하고, 아몬드 한줌을 골고루 뿌려준다. ⑤ 휘핑크림을 적당히 올린 후 소스를 드리즐 해준다. (시나몬은 카라멜소스 드리즐 후 시나몬파우더를 뿌려준다.) ⑥ 휘핑크림과 접시 빈곳에 아몬드로 데코를 해준다.",,2022-10-30
인절미 토스트,인절미토스트,"메이플시럽, 오곡파우더 1스푼, 아몬드",① 해동된 인절미토스트를 빵팬에 종이호일을 깔고 위에 올려둔다. ② 가열된 오븐에 7분 동안 구워준다. (타이머세팅) ③ 빈접시에 메이플시럽을 벌집모양으로 드리즐 해준다. ④ 시럽이 드리즐된 접시에 구워진 인절미토스트를 절반으로 잘라 포개어둔다. ⑤ 오곡파우더 1스푼을 체에 걸러 전체적으로 뿌려준다. ⑥ 메이플시럽을 드리즐한 후 아몬드로 데코를 해준다.,,2022-10-30
녹차 소프트아이스크림,"마차라떼 40g, 향진한 40g, 여린잎 40g","아이스믹스 3L, 우유 2L, 설탕 300g","① 설탕 300g, 마차라떼 40g, 향진한 40g, 여린잎 40g과 우유 2L, 아이스믹스 3L를 섞어준다. ② 아이스크림 기계에 넣어 완성해준다.",★중간중간 원액통 뚜껑을 열어 원액의 상태를 확인하고 휘퍼를 이용해 섞어준다.(원액특성상 침전물이 가라앉는다.),2022-10-30
레몬생강차 (HOT),"담근생강 40g(빙수스푼), 레몬베이스 10ml","레몬시럽 1펌프, 생레몬 1조각, 280ml 뜨거운 물","① 담근생강 40g, 레몬시럽 1펌프, 레몬베이스 10ml, 생레몬 1조각을 컵에 담고 280ml의 뜨거운 물을 넣고 섞어준다.",,2022-10-30
레몬생강차 (ICED),"담근생강 50g(빙수스푼), 레몬베이스 20ml","레몬시럽 1펌프, 생레몬 1조각, 뜨거운물 20ml, 얼음 컵에 가득, 냉수는 컵의 7~8부","① 담근생강 50g, 레몬시럽 1펌프, 레몬베이스 20ml, 생레몬 1조각을 컵에 담고 20ml의 뜨거운 물로 녹여준다. ② 얼음을 컵에 가득 담고, 냉수를 컵의 70~80% 정도 채워준다.",,2022-10-30
유자홍차 (HOT),"보성홍차3g, 담근유자 50g(빙수스푼)",280ml 뜨거운 물,① 보성홍차 3g을 280ml의 뜨거운 물에 3분간 우려준다. ② 담근유자 50g을 컵에 담고 우려낸 보성홍차를 넣고 섞어준다.,,2022-10-30
유자홍차 (ICED),"보성홍차 5g, 담근유자 60g(빙수스푼) ","뜨거운물 150ml, 얼음 컵 가득, 홍차는 유리계량컵에 200ml ",① 보성홍차 5g을 150ml의 뜨거운 물에 3분간 우려준다. ② 담근유자 60g을 컵에 담고 얼음을 가득 채운 후 보성홍차를 넣고 섞어준다. ③ 부족하면 우린 홍차를 더 넣어준다.,,2022-10-30
그린티 스무디,"자체파우더 1스푼, 바닐라파우더 1스푼, 까로망 녹차파우더 2스푼","설탕시럽 1펌프, 우유 125ml, 얼음 1.5스쿱, 토핑: 녹차 아이스크림","① 자체파우더 1스푼, 바닐라파우더 1스푼, 까로망 녹차파우더 2스푼, 설탕시럽 1펌프를 컵에 담고 우유 125ml와 얼음 1.5스쿱을 넣고 섞어준다. ② 토핑으로 녹차아이스크림을 올려준다.",,2022-10-30
리얼 초코 스무디,"초코파우더 2스푼, 초코소스 1스푼(빙수), 바닐라파우더 1스푼","쿠키분태 1스푼, 우유 125ml, 얼읍 1.5스쿱, 토핑: 오레오 쿠키","① 초코파우더 2스푼, 초코소스 1스푼, 바닐라파우더 1스푼, 쿠키분태 1스푼을 컵에 담고 우유 125ml와 얼음 1.5스쿱을 넣고 섞어준다. ② 토핑으로 오레오 쿠키를 올려준다.",,2022-10-30
플레인 요거트,"카르페요거트 파우더 1스푼, 야미요거트 파우더 2스푼","우유 125ml, 얼음 1.5스쿱(알루미늄)","① 카르페요거트파우더 1스푼, 야미요거트파우더 2스푼을 컵에 담고 우유 125ml와 얼음 1.5스쿱을 넣고 섞어준다.",,2022-10-30
딸기 요거트,"카르페요거트 파우더 1스푼, 딸기퓨레 10g, 요거에스 딸기파우더 2스푼","딸기 큰 것 2개(작은 것은 5개), 우유 125ml, 얼음 1.5스쿱, 토핑 : 라즈베리 2스푼","① 카르페요거트파우더 1스푼, 딸기퓨레 10g, 요거에스딸기파우더 2스푼, 딸기 큰 것 2개(작은 것은 5개)를 컵에 담고 우유 125ml와 얼음 1.5스쿱을 넣고 섞어준다. ② 토핑으로 라즈베리 2스푼을 올려준다.",,2022-10-30
블루베리 요거트,"카르페요거트 파우더 1스푼, 블루베리퓨레 10g, 요거에스 블루베리파우더 2스푼","냉동블루베리 10개, 우유 125ml, 얼음 1.5스쿱, 토핑: 블루베리 7개","① 카르페요거트파우더 1스푼, 블루베리퓨레 10g, 요거에스블루베리파우더 2스푼, 냉동블루베리 10개를 컵에 담고 우유 125ml와 얼음 1.5스쿱을 넣고 섞어준다. ② 토핑으로 블루베리 7개를 올려준다.",,2022-10-30
녹차 팥빙수,"녹차파우더 1스푼, 자체파우더, 통단팥","연유, 우유, 얼음, 아몬드 한줌, 인절미 한주먹, 호두 5개, 녹차아이스크림","① 자체소스 제조: 플라스틱 계량컵을 이용하여 연유→우유 →자체파우더 1스푼 순으로 넣고 믹스한 후 체에 한번 걸러서 준비해준다. ② 빙수 그릇에 얼음을 갈아준다. (그릇의 1/3정도) ③ 자체소스 1/2을 골고루 뿌려준다. ④ 통단팥 1주걱을 올리고 아몬드 한줌을 올려준다. ⑤ ②번 빙수에 얼음을 소복히 갈아주고, 자체소스 나머지를 중심 위주로 뿌려준다. ⑥ 녹차파우더 1스푼을 체에 걸러 전체에 뿌려준다. 통단팥 2주걱을 중심 위주로 올려준다. 인절미 한주먹을 올려준다. ⑦ 아몬드를 올리고, 호두 5개로 데코해준다. 녹차아이스크림 3바퀴를 돌려 올려준다.",,2022-10-30
